id,alias
265,AVX Corporation Common
266,AVY
266,Avery
266,Avery Dennison
266,Avery Dennison Corporation
267,AWF
267,Alliancebernstein Global
267,Alliancebernstein Global High
268,AWH
268,Allied World
268,Allied World Assurance
269,AWI
269,Armstrong
269,Armstrong World
269,Armstrong World Industries
270,AWK
270,American Water
270,American Water Works
271,AWP
271,Alpine Global Premier
272,AWR
272,American States
272,American States Water
273,AXE
273,Anixter
273,Anixter International
273,Anixter International Inc.
274,AXL
274,American Axle
274,American Axle &
275,AXLL
275,Axiall
275,Axiall Corporation
275,Axiall Corporation Common
276,AXP
276,American Express
276,American Express Company
277,AXR
277,AMREP
277,AMREP Corporation
277,AMREP Corporation Common
278,AXS
279,AXS-C
280,AXS-D
281,AXTA
281,Axalta
281,Axalta Coating
281,Axalta Coating Systems
282,AYI
282,Acuity
282,Acuity Brands
282,Acuity Brands Inc
283,AYN
283,Alliance New
283,Alliance New York
284,AYR
284,Aircastle
284,Aircastle Limited
284,Aircastle Limited Common
285,AZN
285,Astrazeneca
285,Astrazeneca PLC
285,Astrazeneca PLC Common
286,AZO
286,AutoZone
286,"AutoZone, Inc."
286,"AutoZone, Inc. Common"
287,AZZ
287,AZZ Incorporated
287,AZZ Incorporated Common
288,B
288,"Barnes Group,"
288,"Barnes Group, Inc."
289,BA
289,Boeing
289,Boeing Company
289,Boeing Company (The)
290,BABA
290,Alibaba
290,Alibaba Group
290,Alibaba Group Holding
291,BAC
292,BAC-D
293,BAC-E
294,BAC-I
294,Bank Amer
294,Bank Amer Corp
295,BAC-L
296,BAC-W
297,BAC-Z
298,BAC.A
299,BAC.B
300,BAF
301,BAH
301,Booz
301,Booz Allen
301,Booz Allen Hamilton
302,BAK
302,Braskem
302,Braskem SA
302,Braskem SA ADR
303,BALT
303,Baltic
303,Baltic Trading
303,Baltic Trading Limited
304,BAM
304,Brookfield Asset
304,Brookfield Asset Management
305,BANC
306,BANC-C
307,BAP
307,Credicorp
307,Credicorp Ltd.
307,Credicorp Ltd. Common
308,BAS
308,Basic Energy
308,"Basic Energy Services,"
309,BAX
309,Baxter
309,Baxter International
309,Baxter International Inc.
310,BBD
311,BBDO
312,BBF
313,BBG
313,Bill Barrett
313,Bill Barrett Corporation
314,BBK
315,BBL
315,BHP Billiton plc
316,BBN
316,BlackRock Build
316,BlackRock Build America
317,BBT
317,BB&T Corporation Common
318,BBT-D
319,BBT-E
320,BBT-F
321,BBT-G
322,Banco Bilbao
322,Banco Bilbao Vizcaya
323,BBW
323,Build
324,BBX
324,BBX Capital
324,BBX Capital Corporation
325,BBY
325,Best Buy
325,"Best Buy Co.,"
326,BC
326,Brunswick
326,Brunswick Corporation
326,Brunswick Corporation Common
327,BCA
327,Corpbanca
327,Corpbanca Sponsored
327,Corpbanca Sponsored Reg
328,BCC
328,Boise
328,"Boise Cascade,"
328,"Boise Cascade, L.L.C."
329,"BCE, Inc."
329,"BCE, Inc. Common"
330,BCEI
330,Bonanza
330,Bonanza Creek
330,"Bonanza Creek Energy,"
331,BCH
331,Banco De
331,Banco De Chile
332,BCO
332,Brinks
332,Brinks Company
332,Brinks Company (The)
333,BCR
333,C.R.
333,"C.R. Bard,"
333,"C.R. Bard, Inc."
334,BCRH
334,Blue Capital
334,Blue Capital Reinsurance
335,BCS
335,Barclays PLC Common
336,BCS-
336,Barclays Bank
336,Barclays Bank PLC
337,BCS-A
337,Barclays PLC ADS
338,BCS-C
339,BCS-D
340,BCX
340,BlackRock Resources
340,BlackRock Resources Common
341,BDC
341,Belden
341,Belden Inc
341,Belden Inc Common
342,BDJ
342,Blackrock Enhanced Equity
343,BDN
343,Brandywine Realty Trust
344,BDN-E
344,Brandywine Realty Tr
345,BDX
345,Becton
345,"Becton, Dickinson"
345,"Becton, Dickinson and"
346,BEE
346,Strategic Hotels
346,Strategic Hotels &
347,BEL
347,Belmond
347,Belmond Ltd.
347,Belmond Ltd. Class
348,BEN
348,"Franklin Resources,"
348,"Franklin Resources, Inc."
349,BEP
349,Brookfield Renewable
349,Brookfield Renewable Energy
350,BERY
350,Berry Plastics
350,"Berry Plastics Group,"
351,BF.A
352,BF.B
353,BFAM
353,Bright Horizons
353,Bright Horizons Family
354,BFK
355,BFO
355,Blackrock Florida
355,Blackrock Florida Municipal
356,BFR
356,BBVA Banco
356,BBVA Banco Frances
357,BFS
358,BFS-C
359,BFZ
360,BG
360,Bunge
360,Bunge Limited
360,Bunge Limited Bunge
361,BGB
361,Blackstone /
361,Blackstone / GSO
362,General Cable
362,General Cable Corporation
363,BGCA
363,"BGC Partners,"
363,"BGC Partners, Inc."
364,Bge
364,BGE-B
364,Bge Cap
364,Bge Cap Trust
365,BGG
365,Briggs
365,Briggs &
365,Briggs & Stratton
366,BGH
366,Babson Capital Global
367,BGR
367,BlackRock Energy
367,BlackRock Energy and
368,BGS
368,B&G
368,"B&G Foods,"
368,"B&G Foods, Inc."
369,BGT
370,BGX
370,Blackstone GSO Long
371,BGY
371,"BLACKROCK INTERNATIONAL,"
371,"BLACKROCK INTERNATIONAL, LTD."
372,BH
372,Biglari
372,Biglari Holdings
372,Biglari Holdings Inc.
373,BHE
373,"Benchmark Electronics,"
373,"Benchmark Electronics, Inc."
374,BHI
374,Baker Hughes
374,Baker Hughes Incorporated
375,BHK
375,Blackrock Core
375,Blackrock Core Bond
376,BHL
376,Blackrock Defined
376,Blackrock Defined Opportunity
377,BHLB
377,Berkshire Hills
377,"Berkshire Hills Bancorp,"
378,BHP Billiton Limited
379,BID
379,Sotheby's
379,Sotheby's Common
379,Sotheby's Common Stock
380,BIE
381,BIF
381,Boulder Growth
381,Boulder Growth &
382,"Big Lots,"
382,"Big Lots, Inc."
383,BIN
383,Progressive Waste
383,Progressive Waste Solutions
385,BIO.B
386,BIOA
386,BioAmber Inc. Common
387,BIOA.W
387,"BioAmber Inc. Warrant,"
388,BIP
388,Brookfield Infrastructure
388,Brookfield Infrastructure Partners
389,BIT
389,BlackRock Multi
390,BITA
390,Bitauto
390,Bitauto Holdings
390,Bitauto Holdings Limited
391,BJZ
392,BK
393,BK-C
394,BKD
394,Brookdale
394,Brookdale Senior
394,Brookdale Senior Living
395,BKE
395,Buckle
395,"Buckle, Inc."
395,"Buckle, Inc. (The)"
396,BKH
396,Black Hills
396,Black Hills Corporation
397,BKK
397,Blackrock Municipal 2020
398,BKN
398,BlackRock Investment
398,BlackRock Investment Quality
399,BKS
399,Barnes &
399,"Barnes & Noble,"
400,BKT
400,BlackRock Income
400,BlackRock Income Trust
401,BKU
401,BankUnited
401,"BankUnited, Inc."
401,"BankUnited, Inc. Common"
402,BLH
403,BLK
403,BlackRock
403,"BlackRock, Inc."
403,"BlackRock, Inc. Common"
404,BLL
404,Ball Corporation
404,Ball Corporation Common
405,BLOX
405,Infoblox
405,Infoblox Inc.
405,Infoblox Inc. Common
406,BLT
406,Blount
406,"Blount International,"
406,"Blount International, Inc."
407,BLW
407,Blackrock Limited
407,Blackrock Limited Duration
408,BLX
408,Banco Latinoamericano
408,Banco Latinoamericano de
409,BMA
409,Banco Macro
409,Banco Macro S.A.
410,BME
410,Blackrock Health
410,Blackrock Health Sciences
411,BMI
411,Badger
411,"Badger Meter,"
411,"Badger Meter, Inc."
412,BML-G
413,BML-H
414,BML-I
415,BML-J
416,BML-L
417,BMO
417,Bank Of Montreal
418,BMR
418,Biomed
418,Biomed Realty
418,Biomed Realty Trust
419,BMS
419,Bemis
419,"Bemis Company,"
419,"Bemis Company, Inc."
420,BMY
420,Bristol
421,BNJ
421,BlackRock New Jersey
422,C1
422,BNK
422,"C1 Financial,"
422,"C1 Financial, Inc."
423,BNS
423,Bank Nova
423,Bank Nova Scotia
424,BNY
426,BOE
426,Blackrock Global
426,Blackrock Global Blackrock
427,BOH
427,Bank of Hawaii
428,BOI
428,Brookfield Mortgage
428,Brookfield Mortgage Opportunity
429,Boot Barn
429,"Boot Barn Holdings,"
430,China New
430,China New Borun
431,BOXC
431,Brookfield Canada
431,Brookfield Canada Office
432,BP p.l.c.
432,BP p.l.c. Common
433,BPI
433,Bridgepoint
433,"Bridgepoint Education,"
433,"Bridgepoint Education, Inc."
434,BPK
434,Blackrock Municipal 2018
435,BPL
435,Buckeye
435,Buckeye Partners
435,Buckeye Partners L.P.
436,BPT
436,BP Prudhoe
436,BP Prudhoe Bay
437,BPY
437,Brookfield Property
437,Brookfield Property Partners
438,BPZ
438,"BPZ Resources,"
438,"BPZ Resources, Inc"
439,BQH
440,BR
440,Broadridge
440,Broadridge Financial
440,"Broadridge Financial Solutions,"
441,BRC
441,Brady
441,Brady Corporation
441,Brady Corporation Common
442,BRF
442,BRFS
442,BRF S.A.
443,BRK.A
444,BRK.B
445,BRO
445,Brown &
445,"Brown & Brown,"
446,BRP
446,Brookfield Residential
446,Brookfield Residential Properties
447,BRS
447,Bristow
447,Bristow Group
447,Bristow Group Inc.
448,BRSS
448,Global Brass
448,Global Brass and
449,BRT
449,BRT Realty
449,BRT Realty Trust
450,BRX
450,Brixmor
450,Brixmor Property
450,Brixmor Property Group
451,BSAC
452,BSBR
452,Banco Santander Brasil
453,BSD
453,BlackRock Strategic
453,BlackRock Strategic Municipal
454,BSE
455,BSI
455,Alon Blue
455,Alon Blue Square
456,BSL
456,Blackstone GSO Senior
457,BSMX
457,Grupo Financiero
457,Grupo Financiero Santander
458,BST
458,BlackRock Science
458,BlackRock Science and
459,BSX
459,Boston Scientific
459,Boston Scientific Corporation
460,BT
460,BT Group
460,BT Group plc
461,BTA
461,BlackRock Long
462,BTE
462,Baytex
462,Baytex Energy
462,Baytex Energy Corp
463,BTF
463,Boulder Total
463,Boulder Total Return
464,BTH
464,Blyth
464,"Blyth, Inc."
464,"Blyth, Inc. New"
465,BTO
465,John Hancock Financial
466,BTT
466,BlackRock Municipal Target
467,BTU
467,Peabody
467,Peabody Energy
467,Peabody Energy Corporation
468,BTZ
468,BlackRock Credit
468,BlackRock Credit Allocation
469,BUD
469,Anheuser
470,BUI
470,BlackRock Utility
470,BlackRock Utility and
471,BURL
471,Burlington
471,"Burlington Stores,"
471,"Burlington Stores, Inc."
472,BVN
472,Buenaventura
472,Buenaventura Mining
472,Buenaventura Mining Company
473,BWA
473,BorgWarner
473,BorgWarner Inc.
473,BorgWarner Inc. Common
474,BWC
474,Babcock
474,Babcock Common
474,Babcock Common Stock
475,BWG
475,Legg Mason
475,Legg Mason BW
476,BWP
476,Boardwalk
476,Boardwalk Pipeline
476,Boardwalk Pipeline Partners
